,Unnamed: 0,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,predictions,exception,data._target_,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init._target_,model.init.algorithm,model.init.k,model.init.m,model.init.metric,model.init.name,model.init.precompute,model.init.symmetric,model.init.weights,model.data,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
0,00b78258155785d2e393003fd6fcd960,train,deckard.base.experiment.Experiment,00b78258155785d2e393003fd6fcd960,truthseeker,cpu,00b78258155785d2e393003fd6fcd960,00b78258155785d2e393003fd6fcd960,GzipKNN,00b78258155785d2e393003fd6fcd960,00b78258155785d2e393003fd6fcd960,0.97,1.0361632919311523,cpu,1709315077.6531873,1709315065.2813623,12.762759752,0.12762759752,cpu,1709315065.2812283,1709315060.477428,5.004538886,0.05004538886,truthseeker/reports/gzip_knn/100-0/train/00b78258155785d2e393003fd6fcd960/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,00b78258155785d2e393003fd6fcd960,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,brute,11,-1,Jaro,gzip_classifier.GzipKNN,True,Symmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
1,00c444ce12b0ff9b6c0de26827395df2,train,deckard.base.experiment.Experiment,00c444ce12b0ff9b6c0de26827395df2,truthseeker,cpu,00c444ce12b0ff9b6c0de26827395df2,00c444ce12b0ff9b6c0de26827395df2,GzipKNN,00c444ce12b0ff9b6c0de26827395df2,00c444ce12b0ff9b6c0de26827395df2,0.97,1.0361632919311523,cpu,1709314936.4056337,1709314922.860366,14.450961759,0.14450961759,cpu,1709314922.860202,1709314917.9152763,5.835510045,0.05835510045,truthseeker/reports/gzip_knn/100-0/train/00c444ce12b0ff9b6c0de26827395df2/predictions.json,truthseeker/reports/gzip_knn/100-0/train/00c444ce12b0ff9b6c0de26827395df2/exception.log,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,00c444ce12b0ff9b6c0de26827395df2,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,brute,3,-1,Zstd,gzip_classifier.GzipKNN,True,Asymmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
2,00c459dd1100d9096ffa2b42bf29d736,train,deckard.base.experiment.Experiment,00c459dd1100d9096ffa2b42bf29d736,truthseeker,cpu,00c459dd1100d9096ffa2b42bf29d736,00c459dd1100d9096ffa2b42bf29d736,GzipKNN,00c459dd1100d9096ffa2b42bf29d736,00c459dd1100d9096ffa2b42bf29d736,0.97,1.0361632919311523,cpu,1709312974.06874,1709312960.90256,13.567937705,0.13567937705,cpu,1709312960.9024415,1709312956.0015826,5.324221403,0.05324221403,truthseeker/reports/gzip_knn/100-0/train/00c459dd1100d9096ffa2b42bf29d736/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,00c459dd1100d9096ffa2b42bf29d736,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,brute,3,-1,Jaro-Winkler,gzip_classifier.GzipKNN,True,Asymmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
3,01832c8ec4b036d6f3cdfa99eb1dea62,train,deckard.base.experiment.Experiment,01832c8ec4b036d6f3cdfa99eb1dea62,truthseeker,cpu,01832c8ec4b036d6f3cdfa99eb1dea62,01832c8ec4b036d6f3cdfa99eb1dea62,GzipKNN,01832c8ec4b036d6f3cdfa99eb1dea62,01832c8ec4b036d6f3cdfa99eb1dea62,0.97,1.0361632919311523,cpu,1709312891.929857,1709312878.7203386,13.619164177,0.13619164177,cpu,1709312878.7201664,1709312873.736465,5.291358904,0.05291358904,truthseeker/reports/gzip_knn/100-0/train/01832c8ec4b036d6f3cdfa99eb1dea62/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,01832c8ec4b036d6f3cdfa99eb1dea62,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,ball_tree,5,-1,Pickle,gzip_classifier.GzipKNN,True,Asymmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
4,0189b71ca5d4953770aef6f7a9803036,train,deckard.base.experiment.Experiment,0189b71ca5d4953770aef6f7a9803036,truthseeker,cpu,0189b71ca5d4953770aef6f7a9803036,0189b71ca5d4953770aef6f7a9803036,GzipKNN,0189b71ca5d4953770aef6f7a9803036,0189b71ca5d4953770aef6f7a9803036,0.91,3.108489875793457,cpu,1709312088.2531507,1709312074.4988892,14.710123459,0.14710123459,cpu,1709312074.4988146,1709312069.4616046,5.901505385,0.05901505385,truthseeker/reports/gzip_knn/100-0/train/0189b71ca5d4953770aef6f7a9803036/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,0189b71ca5d4953770aef6f7a9803036,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,ball_tree,1,-1,Zstd,gzip_classifier.GzipKNN,True,Asymmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
5,01993e5eaa9d7bca2fb88dd949360007,train,deckard.base.experiment.Experiment,01993e5eaa9d7bca2fb88dd949360007,truthseeker,cpu,01993e5eaa9d7bca2fb88dd949360007,01993e5eaa9d7bca2fb88dd949360007,GzipKNN,01993e5eaa9d7bca2fb88dd949360007,01993e5eaa9d7bca2fb88dd949360007,0.97,1.0361632919311523,cpu,1709312995.8349206,1709312983.1498904,13.166319906,0.13166319906,cpu,1709312983.1498146,1709312978.1684031,5.439074577,0.05439074577,truthseeker/reports/gzip_knn/100-0/train/01993e5eaa9d7bca2fb88dd949360007/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,01993e5eaa9d7bca2fb88dd949360007,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,brute,5,-1,Levenshtein,gzip_classifier.GzipKNN,True,Asymmetric,distance,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
6,01bb8f831444d97a7d348fa86bed4c14,train,deckard.base.experiment.Experiment,01bb8f831444d97a7d348fa86bed4c14,truthseeker,cpu,01bb8f831444d97a7d348fa86bed4c14,01bb8f831444d97a7d348fa86bed4c14,GzipKNN,01bb8f831444d97a7d348fa86bed4c14,01bb8f831444d97a7d348fa86bed4c14,0.97,1.0361632919311523,cpu,1709314899.8801162,1709314887.3945143,12.919348628,0.12919348628,cpu,1709314887.3943338,1709314882.6691763,4.864834538,0.04864834538,truthseeker/reports/gzip_knn/100-0/train/01bb8f831444d97a7d348fa86bed4c14/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,01bb8f831444d97a7d348fa86bed4c14,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,brute,11,-1,Ratio,gzip_classifier.GzipKNN,True,Symmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
7,047737f26c8130e75d000bea71bb5dd1,train,deckard.base.experiment.Experiment,047737f26c8130e75d000bea71bb5dd1,truthseeker,cpu,047737f26c8130e75d000bea71bb5dd1,047737f26c8130e75d000bea71bb5dd1,GzipKNN,047737f26c8130e75d000bea71bb5dd1,047737f26c8130e75d000bea71bb5dd1,0.97,1.0361632919311523,cpu,1709313503.1781237,1709313490.3739245,13.30813401,0.1330813401,cpu,1709313490.3738492,1709313485.4256473,5.149668852,0.05149668852,truthseeker/reports/gzip_knn/100-0/train/047737f26c8130e75d000bea71bb5dd1/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,047737f26c8130e75d000bea71bb5dd1,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,ball_tree,7,-1,Ratio,gzip_classifier.GzipKNN,True,Symmetric,distance,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
9,06ae8a9584117dfb9335b8e8e37d6a12,train,deckard.base.experiment.Experiment,06ae8a9584117dfb9335b8e8e37d6a12,truthseeker,cpu,06ae8a9584117dfb9335b8e8e37d6a12,06ae8a9584117dfb9335b8e8e37d6a12,GzipKNN,06ae8a9584117dfb9335b8e8e37d6a12,06ae8a9584117dfb9335b8e8e37d6a12,0.97,1.0361632919311523,cpu,1709311547.3034406,1709311527.4232953,20.83216322,0.2083216322,cpu,1709311527.4229932,1709311521.3007288,7.197661924,0.07197661924,truthseeker/reports/gzip_knn/100-0/train/06ae8a9584117dfb9335b8e8e37d6a12/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,06ae8a9584117dfb9335b8e8e37d6a12,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,brute,11,-1,BZ2,gzip_classifier.GzipKNN,True,Asymmetric,distance,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
11,0ba5c761a0b61767b8bce6040f757d5c,train,deckard.base.experiment.Experiment,0ba5c761a0b61767b8bce6040f757d5c,truthseeker,cpu,0ba5c761a0b61767b8bce6040f757d5c,0ba5c761a0b61767b8bce6040f757d5c,GzipKNN,0ba5c761a0b61767b8bce6040f757d5c,0ba5c761a0b61767b8bce6040f757d5c,0.97,1.0361632919311523,cpu,1709314896.5962074,1709314883.413424,13.567690447,0.13567690447,cpu,1709314883.4130566,1709314878.442947,5.41552997,0.0541552997,truthseeker/reports/gzip_knn/100-0/train/0ba5c761a0b61767b8bce6040f757d5c/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,0ba5c761a0b61767b8bce6040f757d5c,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,brute,11,-1,Jaro-Winkler,gzip_classifier.GzipKNN,True,Asymmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
12,0be749eab36720a14c4f4c69ab09aa2a,train,deckard.base.experiment.Experiment,0be749eab36720a14c4f4c69ab09aa2a,truthseeker,cpu,0be749eab36720a14c4f4c69ab09aa2a,0be749eab36720a14c4f4c69ab09aa2a,GzipKNN,0be749eab36720a14c4f4c69ab09aa2a,0be749eab36720a14c4f4c69ab09aa2a,0.97,1.0361632919311523,cpu,1709314325.7466109,1709314311.8299327,14.363774974,0.14363774974,cpu,1709314311.8298576,1709314306.9264772,5.230267115,0.05230267115,truthseeker/reports/gzip_knn/100-0/train/0be749eab36720a14c4f4c69ab09aa2a/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,0be749eab36720a14c4f4c69ab09aa2a,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,ball_tree,5,-1,Ratio,gzip_classifier.GzipKNN,True,Asymmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
13,0c904c61d278bead0c820a75ea8c9d5a,train,deckard.base.experiment.Experiment,0c904c61d278bead0c820a75ea8c9d5a,truthseeker,cpu,0c904c61d278bead0c820a75ea8c9d5a,0c904c61d278bead0c820a75ea8c9d5a,GzipKNN,0c904c61d278bead0c820a75ea8c9d5a,0c904c61d278bead0c820a75ea8c9d5a,0.97,1.0361632919311523,cpu,1709315040.3091354,1709315027.2125807,14.045361669,0.14045361669,cpu,1709315027.212435,1709315022.4664843,5.184919078,0.05184919078,truthseeker/reports/gzip_knn/100-0/train/0c904c61d278bead0c820a75ea8c9d5a/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,0c904c61d278bead0c820a75ea8c9d5a,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,brute,11,-1,Zstd,gzip_classifier.GzipKNN,True,Symmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
14,0cda9ae2aab641bc34cdfac3ca5732fe,train,deckard.base.experiment.Experiment,0cda9ae2aab641bc34cdfac3ca5732fe,truthseeker,cpu,0cda9ae2aab641bc34cdfac3ca5732fe,0cda9ae2aab641bc34cdfac3ca5732fe,GzipKNN,0cda9ae2aab641bc34cdfac3ca5732fe,0cda9ae2aab641bc34cdfac3ca5732fe,0.97,1.0361632919311523,cpu,1709314605.3573828,1709314592.8598802,12.960057129,0.12960057129,cpu,1709314592.859751,1709314588.116604,4.905106247,0.04905106247,truthseeker/reports/gzip_knn/100-0/train/0cda9ae2aab641bc34cdfac3ca5732fe/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,0cda9ae2aab641bc34cdfac3ca5732fe,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,ball_tree,7,-1,Levenshtein,gzip_classifier.GzipKNN,True,Symmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
16,10026bbf1fc3eeaac4d770cd1074d9aa,train,deckard.base.experiment.Experiment,10026bbf1fc3eeaac4d770cd1074d9aa,truthseeker,cpu,10026bbf1fc3eeaac4d770cd1074d9aa,10026bbf1fc3eeaac4d770cd1074d9aa,GzipKNN,10026bbf1fc3eeaac4d770cd1074d9aa,10026bbf1fc3eeaac4d770cd1074d9aa,0.97,1.0361632919311523,cpu,1709315611.2670438,1709315261.6827328,349.97796198,3.4997796198,cpu,1709315261.6826482,1709315236.183706,25.783763616,0.25783763616,truthseeker/reports/gzip_knn/100-0/train/10026bbf1fc3eeaac4d770cd1074d9aa/predictions.json,truthseeker/reports/gzip_knn/100-0/train/10026bbf1fc3eeaac4d770cd1074d9aa/exception.log,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,10026bbf1fc3eeaac4d770cd1074d9aa,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,ball_tree,5,-1,SeqRatio,gzip_classifier.GzipKNN,True,Asymmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
18,114ae13663021043bb00d5e2c9d73f55,train,deckard.base.experiment.Experiment,114ae13663021043bb00d5e2c9d73f55,truthseeker,cpu,114ae13663021043bb00d5e2c9d73f55,114ae13663021043bb00d5e2c9d73f55,GzipKNN,114ae13663021043bb00d5e2c9d73f55,114ae13663021043bb00d5e2c9d73f55,0.97,1.0361632919311523,cpu,1709312985.3757586,1709312968.080475,18.393737146,0.18393737146,cpu,1709312968.0803978,1709312963.101407,5.815034359,0.05815034359,truthseeker/reports/gzip_knn/100-0/train/114ae13663021043bb00d5e2c9d73f55/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,114ae13663021043bb00d5e2c9d73f55,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,brute,5,-1,BZ2,gzip_classifier.GzipKNN,True,Symmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
19,117e26d633b174c6e4d68e551bf29505,train,deckard.base.experiment.Experiment,117e26d633b174c6e4d68e551bf29505,truthseeker,cpu,117e26d633b174c6e4d68e551bf29505,117e26d633b174c6e4d68e551bf29505,GzipKNN,117e26d633b174c6e4d68e551bf29505,117e26d633b174c6e4d68e551bf29505,0.97,1.0361632919311523,cpu,1709314267.6282785,1709314255.0888066,12.939572743,0.12939572743,cpu,1709314255.0886722,1709314250.3381455,5.119198709,0.05119198709,truthseeker/reports/gzip_knn/100-0/train/117e26d633b174c6e4d68e551bf29505/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,117e26d633b174c6e4d68e551bf29505,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,brute,7,-1,Levenshtein,gzip_classifier.GzipKNN,True,Asymmetric,distance,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
20,11fa530d4340cc63c6d21e2d5d9407cc,train,deckard.base.experiment.Experiment,11fa530d4340cc63c6d21e2d5d9407cc,truthseeker,cpu,11fa530d4340cc63c6d21e2d5d9407cc,11fa530d4340cc63c6d21e2d5d9407cc,GzipKNN,11fa530d4340cc63c6d21e2d5d9407cc,11fa530d4340cc63c6d21e2d5d9407cc,0.97,1.0361632919311523,cpu,1709312890.502805,1709312878.290386,12.621600629,0.12621600629,cpu,1709312878.290238,1709312873.5679977,4.848489856,0.04848489856,truthseeker/reports/gzip_knn/100-0/train/11fa530d4340cc63c6d21e2d5d9407cc/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,11fa530d4340cc63c6d21e2d5d9407cc,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,ball_tree,7,-1,Hamming,gzip_classifier.GzipKNN,True,Symmetric,uniform,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
22,13d3408538fb1f85a1891295db5700ad,train,deckard.base.experiment.Experiment,13d3408538fb1f85a1891295db5700ad,truthseeker,cpu,13d3408538fb1f85a1891295db5700ad,13d3408538fb1f85a1891295db5700ad,GzipKNN,13d3408538fb1f85a1891295db5700ad,13d3408538fb1f85a1891295db5700ad,0.97,1.0361632919311523,cpu,1709314306.393666,1709314293.7246587,13.096169826,0.13096169826,cpu,1709314293.7245235,1709314288.60384,5.529342516,0.05529342516,truthseeker/reports/gzip_knn/100-0/train/13d3408538fb1f85a1891295db5700ad/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,13d3408538fb1f85a1891295db5700ad,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,ball_tree,11,-1,Hamming,gzip_classifier.GzipKNN,True,Asymmetric,distance,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
23,1b83990a35fdcc01954d9b3bed6f4acf,train,deckard.base.experiment.Experiment,1b83990a35fdcc01954d9b3bed6f4acf,truthseeker,cpu,1b83990a35fdcc01954d9b3bed6f4acf,1b83990a35fdcc01954d9b3bed6f4acf,GzipKNN,1b83990a35fdcc01954d9b3bed6f4acf,1b83990a35fdcc01954d9b3bed6f4acf,0.97,1.0361632919311523,cpu,1709312059.5292385,1709312043.9043596,16.042558787,0.16042558787,cpu,1709312043.9042945,1709312037.5390334,6.660519811,0.06660519811,truthseeker/reports/gzip_knn/100-0/train/1b83990a35fdcc01954d9b3bed6f4acf/predictions.json,,deckard.base.data.Data,raw_data/truthseeker.csv,BotScoreBinary,0,True,True,100,100,deckard.base.files.FileConfig,.csv,truthseeker,1b83990a35fdcc01954d9b3bed6f4acf,predictions.json,reports/gzip_knn/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/truthseeker.csv,0.0,True,True,100.0,100.0,BotScoreBinary,deckard.base.model.ModelInitializer,ball_tree,11,-1,Gzip,gzip_classifier.GzipKNN,True,Asymmetric,distance,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipKNN
