,Unnamed: 0,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,predictions,exception,data._target_,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init._target_,model.init.class_weight,model.init.fit_intercept,model.init.m,model.init.metric,model.init.name,model.init.penalty,model.init.precompute,model.init.solver,model.init.symmetric,model.init.tol,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
0,03ffaee08edce9248b6f6d521bdb5d6f,train,deckard.base.experiment.Experiment,03ffaee08edce9248b6f6d521bdb5d6f,ddos,cpu,03ffaee08edce9248b6f6d521bdb5d6f,03ffaee08edce9248b6f6d521bdb5d6f,GzipLogisticRegressor,03ffaee08edce9248b6f6d521bdb5d6f,03ffaee08edce9248b6f6d521bdb5d6f,0.5,17.26938819885254,cpu,1709326532.164142,1709326521.3763635,11.103133815,0.11103133815,cpu,1709326521.3761065,1709326512.103938,9.712907383,0.09712907383,ddos/reports/gzip_logistic/100-0/train/03ffaee08edce9248b6f6d521bdb5d6f/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,03ffaee08edce9248b6f6d521bdb5d6f,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,,True,-1,Hamming,gzip_classifier.GzipLogisticRegressor,none,True,saga,Symmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
1,097ba214248859a62fb70c3232fa7414,train,deckard.base.experiment.Experiment,097ba214248859a62fb70c3232fa7414,ddos,cpu,097ba214248859a62fb70c3232fa7414,097ba214248859a62fb70c3232fa7414,GzipLogisticRegressor,097ba214248859a62fb70c3232fa7414,097ba214248859a62fb70c3232fa7414,0.82,6.216979751586914,cpu,1709327065.3263211,1709327054.66057,11.182882457,0.11182882457,cpu,1709327054.6604176,1709327043.0140717,12.176414064,0.12176414064,ddos/reports/gzip_logistic/100-0/train/097ba214248859a62fb70c3232fa7414/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,097ba214248859a62fb70c3232fa7414,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.01,deckard.base.model.ModelInitializer,balanced,False,-1,Zstd,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
2,0a2077ffbccf43a0f59d0db5f6d10160,train,deckard.base.experiment.Experiment,0a2077ffbccf43a0f59d0db5f6d10160,ddos,cpu,0a2077ffbccf43a0f59d0db5f6d10160,0a2077ffbccf43a0f59d0db5f6d10160,GzipLogisticRegressor,0a2077ffbccf43a0f59d0db5f6d10160,0a2077ffbccf43a0f59d0db5f6d10160,0.66,11.743183975219727,cpu,1709326598.4404857,1709326588.3254633,10.40642245,0.1040642245,cpu,1709326588.3253005,1709326577.7549655,10.919007993,0.10919007993,ddos/reports/gzip_logistic/100-0/train/0a2077ffbccf43a0f59d0db5f6d10160/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,0a2077ffbccf43a0f59d0db5f6d10160,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,,False,-1,Jaro,gzip_classifier.GzipLogisticRegressor,none,True,saga,Asymmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
3,0b7f79cca22fd087d135ae224ecd1d76,train,deckard.base.experiment.Experiment,0b7f79cca22fd087d135ae224ecd1d76,ddos,cpu,0b7f79cca22fd087d135ae224ecd1d76,0b7f79cca22fd087d135ae224ecd1d76,GzipLogisticRegressor,0b7f79cca22fd087d135ae224ecd1d76,0b7f79cca22fd087d135ae224ecd1d76,0.59,14.16089832305908,cpu,1709327063.05046,1709327053.126417,10.249440422,0.10249440422,cpu,1709327053.1261938,1709327042.891321,10.553864026,0.10553864026,ddos/reports/gzip_logistic/100-0/train/0b7f79cca22fd087d135ae224ecd1d76/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,0b7f79cca22fd087d135ae224ecd1d76,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,100.0,deckard.base.model.ModelInitializer,balanced,False,-1,Pickle,gzip_classifier.GzipLogisticRegressor,l1,True,saga,Asymmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
4,0c74dc0310c02b1762a0810e5d7df61b,train,deckard.base.experiment.Experiment,0c74dc0310c02b1762a0810e5d7df61b,ddos,cpu,0c74dc0310c02b1762a0810e5d7df61b,0c74dc0310c02b1762a0810e5d7df61b,GzipLogisticRegressor,0c74dc0310c02b1762a0810e5d7df61b,0c74dc0310c02b1762a0810e5d7df61b,0.99,0.3453877639770508,cpu,1709326565.381688,1709326543.7584252,24.784136379,0.24784136379,cpu,1709326543.7581537,1709326512.0277405,35.629770026,0.35629770026,ddos/reports/gzip_logistic/100-0/train/0c74dc0310c02b1762a0810e5d7df61b/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,0c74dc0310c02b1762a0810e5d7df61b,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,,True,-1,Lzma,gzip_classifier.GzipLogisticRegressor,none,True,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
5,0e965fe6b75828ebef7a7fc2ebdd5602,train,deckard.base.experiment.Experiment,0e965fe6b75828ebef7a7fc2ebdd5602,ddos,cpu,0e965fe6b75828ebef7a7fc2ebdd5602,0e965fe6b75828ebef7a7fc2ebdd5602,GzipLogisticRegressor,0e965fe6b75828ebef7a7fc2ebdd5602,0e965fe6b75828ebef7a7fc2ebdd5602,0.5,17.26938819885254,cpu,1709326244.8978314,1709326233.707952,11.577274581,0.11577274581,cpu,1709326233.707811,1709326224.028935,10.148235439,0.10148235439,ddos/reports/gzip_logistic/100-0/train/0e965fe6b75828ebef7a7fc2ebdd5602/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,0e965fe6b75828ebef7a7fc2ebdd5602,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,100.0,deckard.base.model.ModelInitializer,,False,-1,Ratio,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
7,157f40a059ed94bc5984a1a3df00b8ab,train,deckard.base.experiment.Experiment,157f40a059ed94bc5984a1a3df00b8ab,ddos,cpu,157f40a059ed94bc5984a1a3df00b8ab,157f40a059ed94bc5984a1a3df00b8ab,GzipLogisticRegressor,157f40a059ed94bc5984a1a3df00b8ab,157f40a059ed94bc5984a1a3df00b8ab,0.5,17.26938819885254,cpu,1709327011.977836,1709327000.393963,12.157939411,0.12157939411,cpu,1709327000.393802,1709326991.7000818,9.30691473,0.0930691473,ddos/reports/gzip_logistic/100-0/train/157f40a059ed94bc5984a1a3df00b8ab/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,157f40a059ed94bc5984a1a3df00b8ab,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,1.0,deckard.base.model.ModelInitializer,,False,-1,Zstd,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
8,1951dae8bd379605e2b14eea420b695d,train,deckard.base.experiment.Experiment,1951dae8bd379605e2b14eea420b695d,ddos,cpu,1951dae8bd379605e2b14eea420b695d,1951dae8bd379605e2b14eea420b695d,GzipLogisticRegressor,1951dae8bd379605e2b14eea420b695d,1951dae8bd379605e2b14eea420b695d,0.5,17.26938819885254,cpu,1709326531.61787,1709326521.119159,10.902566049,0.10902566049,cpu,1709326521.1189764,1709326512.163309,9.384469143,0.09384469143,ddos/reports/gzip_logistic/100-0/train/1951dae8bd379605e2b14eea420b695d/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,1951dae8bd379605e2b14eea420b695d,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,,True,-1,Pickle,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
9,1b7d58779a98f1e695fc78ba6099cb22,train,deckard.base.experiment.Experiment,1b7d58779a98f1e695fc78ba6099cb22,ddos,cpu,1b7d58779a98f1e695fc78ba6099cb22,1b7d58779a98f1e695fc78ba6099cb22,GzipLogisticRegressor,1b7d58779a98f1e695fc78ba6099cb22,1b7d58779a98f1e695fc78ba6099cb22,1.0,0.0,cpu,1709327013.1420517,1709327002.4400518,10.975314016,0.10975314016,cpu,1709327002.439735,1709326991.7362742,11.041995356,0.11041995356,ddos/reports/gzip_logistic/100-0/train/1b7d58779a98f1e695fc78ba6099cb22/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,1b7d58779a98f1e695fc78ba6099cb22,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,,True,-1,Levenshtein,gzip_classifier.GzipLogisticRegressor,none,True,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
10,1d533393961035dee3fb54b66d286782,train,deckard.base.experiment.Experiment,1d533393961035dee3fb54b66d286782,ddos,cpu,1d533393961035dee3fb54b66d286782,1d533393961035dee3fb54b66d286782,GzipLogisticRegressor,1d533393961035dee3fb54b66d286782,1d533393961035dee3fb54b66d286782,0.59,14.16089832305908,cpu,1709326597.9767468,1709326588.0288937,10.275868592,0.10275868592,cpu,1709326588.0287588,1709326577.7801905,10.606534459,0.10606534459,ddos/reports/gzip_logistic/100-0/train/1d533393961035dee3fb54b66d286782/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,1d533393961035dee3fb54b66d286782,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,balanced,False,-1,Pickle,gzip_classifier.GzipLogisticRegressor,none,True,saga,Asymmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
11,20048ea3b5a120270ab166a7d26c7116,train,deckard.base.experiment.Experiment,20048ea3b5a120270ab166a7d26c7116,ddos,cpu,20048ea3b5a120270ab166a7d26c7116,20048ea3b5a120270ab166a7d26c7116,GzipLogisticRegressor,20048ea3b5a120270ab166a7d26c7116,20048ea3b5a120270ab166a7d26c7116,0.42,20.032490310668944,cpu,1709326602.482154,1709326593.3110528,9.381951808,0.09381951808,cpu,1709326593.3109431,1709326583.0426264,10.561203577,0.10561203577,ddos/reports/gzip_logistic/100-0/train/20048ea3b5a120270ab166a7d26c7116/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,20048ea3b5a120270ab166a7d26c7116,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.01,deckard.base.model.ModelInitializer,,False,-1,Hamming,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
12,20bc933b7d6fdf2c36cb719a0629e4b6,train,deckard.base.experiment.Experiment,20bc933b7d6fdf2c36cb719a0629e4b6,ddos,cpu,20bc933b7d6fdf2c36cb719a0629e4b6,20bc933b7d6fdf2c36cb719a0629e4b6,GzipLogisticRegressor,20bc933b7d6fdf2c36cb719a0629e4b6,20bc933b7d6fdf2c36cb719a0629e4b6,0.5,17.26938819885254,cpu,1709326532.2792697,1709326521.3933086,11.250105644,0.11250105644,cpu,1709326521.3931415,1709326512.1332366,9.674398833,0.09674398833,ddos/reports/gzip_logistic/100-0/train/20bc933b7d6fdf2c36cb719a0629e4b6/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,20bc933b7d6fdf2c36cb719a0629e4b6,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.01,deckard.base.model.ModelInitializer,,False,-1,Ratio,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
13,22f7760a1db1715181cd304bf6028380,train,deckard.base.experiment.Experiment,22f7760a1db1715181cd304bf6028380,ddos,cpu,22f7760a1db1715181cd304bf6028380,22f7760a1db1715181cd304bf6028380,GzipLogisticRegressor,22f7760a1db1715181cd304bf6028380,22f7760a1db1715181cd304bf6028380,0.77,7.943918571472168,cpu,1709327241.1284094,1709327232.1105337,9.180491799,0.09180491799,cpu,1709327232.1104102,1709327221.8250258,10.538621784,0.10538621784,ddos/reports/gzip_logistic/100-0/train/22f7760a1db1715181cd304bf6028380/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,22f7760a1db1715181cd304bf6028380,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,,False,-1,Ratio,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
14,22ffe9a470bc5fd0d33bb74ea1b0aa8e,train,deckard.base.experiment.Experiment,22ffe9a470bc5fd0d33bb74ea1b0aa8e,ddos,cpu,22ffe9a470bc5fd0d33bb74ea1b0aa8e,22ffe9a470bc5fd0d33bb74ea1b0aa8e,GzipLogisticRegressor,22ffe9a470bc5fd0d33bb74ea1b0aa8e,22ffe9a470bc5fd0d33bb74ea1b0aa8e,0.5,17.26938819885254,cpu,1709326531.8504894,1709326521.0856411,11.141322278,0.11141322278,cpu,1709326521.0854766,1709326512.000855,9.488024262,0.09488024262,ddos/reports/gzip_logistic/100-0/train/22ffe9a470bc5fd0d33bb74ea1b0aa8e/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,22ffe9a470bc5fd0d33bb74ea1b0aa8e,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,True,-1,Hamming,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
15,23a0fee69777a782fd3ce5f887a453a2,train,deckard.base.experiment.Experiment,23a0fee69777a782fd3ce5f887a453a2,ddos,cpu,23a0fee69777a782fd3ce5f887a453a2,23a0fee69777a782fd3ce5f887a453a2,GzipLogisticRegressor,23a0fee69777a782fd3ce5f887a453a2,23a0fee69777a782fd3ce5f887a453a2,0.5,17.26938819885254,cpu,1709326533.3218777,1709326521.4474926,12.473773984,0.12473773984,cpu,1709326521.4473317,1709326511.9705954,10.105555837,0.10105555837,ddos/reports/gzip_logistic/100-0/train/23a0fee69777a782fd3ce5f887a453a2/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,23a0fee69777a782fd3ce5f887a453a2,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,,True,-1,Zstd,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
16,2510256c846115a6a06b742ad0127fcd,train,deckard.base.experiment.Experiment,2510256c846115a6a06b742ad0127fcd,ddos,cpu,2510256c846115a6a06b742ad0127fcd,2510256c846115a6a06b742ad0127fcd,GzipLogisticRegressor,2510256c846115a6a06b742ad0127fcd,2510256c846115a6a06b742ad0127fcd,0.5,17.26938819885254,cpu,1709326833.0005918,1709326823.413273,9.859994403,0.09859994403,cpu,1709326823.4131467,1709326813.0690906,10.683780082,0.10683780082,ddos/reports/gzip_logistic/100-0/train/2510256c846115a6a06b742ad0127fcd/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,2510256c846115a6a06b742ad0127fcd,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,balanced,True,-1,Pickle,gzip_classifier.GzipLogisticRegressor,l1,True,saga,Asymmetric,0.01,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
17,274065ecb3f604f25e2bae9f73c963de,train,deckard.base.experiment.Experiment,274065ecb3f604f25e2bae9f73c963de,ddos,cpu,274065ecb3f604f25e2bae9f73c963de,274065ecb3f604f25e2bae9f73c963de,GzipLogisticRegressor,274065ecb3f604f25e2bae9f73c963de,274065ecb3f604f25e2bae9f73c963de,0.5,17.26938819885254,cpu,1709326320.6359477,1709326298.8568337,24.913236142,0.24913236142,cpu,1709326298.8567152,1709326277.3290606,23.867032523,0.23867032523,ddos/reports/gzip_logistic/100-0/train/274065ecb3f604f25e2bae9f73c963de/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,274065ecb3f604f25e2bae9f73c963de,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,balanced,True,-1,Lzma,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
18,2b98fa2ee27e69d88e07d210dfa31812,train,deckard.base.experiment.Experiment,2b98fa2ee27e69d88e07d210dfa31812,ddos,cpu,2b98fa2ee27e69d88e07d210dfa31812,2b98fa2ee27e69d88e07d210dfa31812,GzipLogisticRegressor,2b98fa2ee27e69d88e07d210dfa31812,2b98fa2ee27e69d88e07d210dfa31812,0.86,4.835428695678711,cpu,1709326300.4969945,1709326289.5595677,13.032113222,0.13032113222,cpu,1709326289.5593407,1709326277.276691,14.476433733,0.14476433733,ddos/reports/gzip_logistic/100-0/train/2b98fa2ee27e69d88e07d210dfa31812/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,2b98fa2ee27e69d88e07d210dfa31812,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,,False,-1,BZ2,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
19,2b9c207177c7b8ef7c0f32dce70173f6,train,deckard.base.experiment.Experiment,2b9c207177c7b8ef7c0f32dce70173f6,ddos,cpu,2b9c207177c7b8ef7c0f32dce70173f6,2b9c207177c7b8ef7c0f32dce70173f6,GzipLogisticRegressor,2b9c207177c7b8ef7c0f32dce70173f6,2b9c207177c7b8ef7c0f32dce70173f6,0.5,17.26938819885254,cpu,1709326533.539471,1709326522.0018027,12.125010672,0.12125010672,cpu,1709326522.001675,1709326512.2323463,10.437125845,0.10437125845,ddos/reports/gzip_logistic/100-0/train/2b9c207177c7b8ef7c0f32dce70173f6/predictions.json,,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,2b9c207177c7b8ef7c0f32dce70173f6,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,['Timestamp'],raw_data/ddos.csv,0,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,,True,-1,Zstd,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.0001,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
