,Unnamed: 0,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,predictions,data._target_,data.name,data.target,data.sample._target_,data.sample.random_state,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.art._target_,model.art.initialize.nb_classes,model.art.library,model.data._target_,model.data.name,model.data.sample._target_,model.data.sample.random_state,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init._target_,model.init.class_weight,model.init.fit_intercept,model.init.m,model.init.metric,model.init.name,model.init.penalty,model.init.precompute,model.init.solver,model.init.symmetric,model.init.tol,model.data,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
0,00d5266a5be931da0d78b2fad60b6cd4,train,deckard.base.experiment.Experiment,00d5266a5be931da0d78b2fad60b6cd4,kdd_nsl,cpu,00d5266a5be931da0d78b2fad60b6cd4,00d5266a5be931da0d78b2fad60b6cd4,GzipLogisticRegressor,00d5266a5be931da0d78b2fad60b6cd4,00d5266a5be931da0d78b2fad60b6cd4,0.47,18.30555149078369,cpu,1709308729.3763926,1709308720.622296,9.112433607,0.09112433607,cpu,1709308720.6221414,1709308711.848875,9.378659856,0.09378659856,kdd_nsl/reports/gzip_logistic/100-0/train/00d5266a5be931da0d78b2fad60b6cd4/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,00d5266a5be931da0d78b2fad60b6cd4,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,100.0,deckard.base.model.ModelInitializer,balanced,True,-1,Zstd,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.0001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
1,014613c56362cc572a80ac96f8495639,train,deckard.base.experiment.Experiment,014613c56362cc572a80ac96f8495639,kdd_nsl,cpu,014613c56362cc572a80ac96f8495639,014613c56362cc572a80ac96f8495639,GzipLogisticRegressor,014613c56362cc572a80ac96f8495639,014613c56362cc572a80ac96f8495639,0.87,4.49004093170166,cpu,1709308576.0066288,1709308563.9358113,12.536309052,0.12536309052,cpu,1709308563.9356718,1709308550.5756783,13.665968032,0.13665968032,kdd_nsl/reports/gzip_logistic/100-0/train/014613c56362cc572a80ac96f8495639/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,014613c56362cc572a80ac96f8495639,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,0.01,deckard.base.model.ModelInitializer,balanced,True,-1,Gzip,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.0001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
2,01ad04a9f890707e2e3954d9302fdb1f,train,deckard.base.experiment.Experiment,01ad04a9f890707e2e3954d9302fdb1f,kdd_nsl,cpu,01ad04a9f890707e2e3954d9302fdb1f,01ad04a9f890707e2e3954d9302fdb1f,GzipLogisticRegressor,01ad04a9f890707e2e3954d9302fdb1f,01ad04a9f890707e2e3954d9302fdb1f,0.93,2.417714347839356,cpu,1709308768.7009609,1709308759.4520397,10.190619726,0.10190619726,cpu,1709308759.4519017,1709308749.2418723,11.366878981,0.11366878981,kdd_nsl/reports/gzip_logistic/100-0/train/01ad04a9f890707e2e3954d9302fdb1f/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,01ad04a9f890707e2e3954d9302fdb1f,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,1.0,deckard.base.model.ModelInitializer,balanced,True,-1,BZ2,gzip_classifier.GzipLogisticRegressor,none,True,saga,Asymmetric,0.0001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
3,01e1172466965962c8616fdcb7f1f7b9,train,deckard.base.experiment.Experiment,01e1172466965962c8616fdcb7f1f7b9,kdd_nsl,cpu,01e1172466965962c8616fdcb7f1f7b9,01e1172466965962c8616fdcb7f1f7b9,GzipLogisticRegressor,01e1172466965962c8616fdcb7f1f7b9,01e1172466965962c8616fdcb7f1f7b9,0.53,16.233224906921386,cpu,1709308783.5366724,1709308768.7472012,14.941296238,0.14941296238,cpu,1709308768.747089,1709308749.2926698,19.804699054,0.19804699054,kdd_nsl/reports/gzip_logistic/100-0/train/01e1172466965962c8616fdcb7f1f7b9/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,01e1172466965962c8616fdcb7f1f7b9,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,0.1,deckard.base.model.ModelInitializer,,True,-1,SeqRatio,gzip_classifier.GzipLogisticRegressor,l1,True,saga,Asymmetric,0.01,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
4,021a24b52864e7926a2ba5928cdbf14d,train,deckard.base.experiment.Experiment,021a24b52864e7926a2ba5928cdbf14d,kdd_nsl,cpu,021a24b52864e7926a2ba5928cdbf14d,021a24b52864e7926a2ba5928cdbf14d,GzipLogisticRegressor,021a24b52864e7926a2ba5928cdbf14d,021a24b52864e7926a2ba5928cdbf14d,0.53,16.233224906921386,cpu,1709308915.869538,1709308906.7929163,9.463507807,0.09463507807,cpu,1709308906.7927155,1709308898.2998197,8.980942604,0.08980942604,kdd_nsl/reports/gzip_logistic/100-0/train/021a24b52864e7926a2ba5928cdbf14d/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,021a24b52864e7926a2ba5928cdbf14d,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,100.0,deckard.base.model.ModelInitializer,balanced,True,-1,Pickle,gzip_classifier.GzipLogisticRegressor,none,True,saga,Symmetric,0.0001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
7,06ec955d861c2fa944693f7a3be61976,train,deckard.base.experiment.Experiment,06ec955d861c2fa944693f7a3be61976,kdd_nsl,cpu,06ec955d861c2fa944693f7a3be61976,06ec955d861c2fa944693f7a3be61976,GzipLogisticRegressor,06ec955d861c2fa944693f7a3be61976,06ec955d861c2fa944693f7a3be61976,0.68,11.052408447265623,cpu,1709308638.1143837,1709308627.221136,11.164864556,0.11164864556,cpu,1709308627.2210407,1709308613.1334047,14.47896091,0.1447896091,kdd_nsl/reports/gzip_logistic/100-0/train/06ec955d861c2fa944693f7a3be61976/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,06ec955d861c2fa944693f7a3be61976,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,0.01,deckard.base.model.ModelInitializer,balanced,True,-1,Jaro,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.0001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
8,07e7628c015b1da58bfb7f951f4c9f81,train,deckard.base.experiment.Experiment,07e7628c015b1da58bfb7f951f4c9f81,kdd_nsl,cpu,07e7628c015b1da58bfb7f951f4c9f81,07e7628c015b1da58bfb7f951f4c9f81,GzipLogisticRegressor,07e7628c015b1da58bfb7f951f4c9f81,07e7628c015b1da58bfb7f951f4c9f81,0.53,16.233224906921386,cpu,1709308916.8435452,1709308907.9770658,9.190876029,0.09190876029,cpu,1709308907.9769175,1709308898.3331478,10.052351375,0.10052351375,kdd_nsl/reports/gzip_logistic/100-0/train/07e7628c015b1da58bfb7f951f4c9f81/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,07e7628c015b1da58bfb7f951f4c9f81,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,0.1,deckard.base.model.ModelInitializer,,False,-1,Jaro,gzip_classifier.GzipLogisticRegressor,l1,True,saga,Asymmetric,0.01,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
9,0dfbf7e2d8efa5551dea4c6c093609cc,train,deckard.base.experiment.Experiment,0dfbf7e2d8efa5551dea4c6c093609cc,kdd_nsl,cpu,0dfbf7e2d8efa5551dea4c6c093609cc,0dfbf7e2d8efa5551dea4c6c093609cc,GzipLogisticRegressor,0dfbf7e2d8efa5551dea4c6c093609cc,0dfbf7e2d8efa5551dea4c6c093609cc,0.91,3.108489875793457,cpu,1709308813.68092,1709308803.5204663,10.580436895,0.10580436895,cpu,1709308803.5200863,1709308792.963748,11.003529948,0.11003529948,kdd_nsl/reports/gzip_logistic/100-0/train/0dfbf7e2d8efa5551dea4c6c093609cc/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,0dfbf7e2d8efa5551dea4c6c093609cc,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,0.01,deckard.base.model.ModelInitializer,balanced,False,-1,Ratio,gzip_classifier.GzipLogisticRegressor,none,True,saga,Asymmetric,0.0001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
10,0f8ab1fa033ed73f9f26802bef298ec7,train,deckard.base.experiment.Experiment,0f8ab1fa033ed73f9f26802bef298ec7,kdd_nsl,cpu,0f8ab1fa033ed73f9f26802bef298ec7,0f8ab1fa033ed73f9f26802bef298ec7,GzipLogisticRegressor,0f8ab1fa033ed73f9f26802bef298ec7,0f8ab1fa033ed73f9f26802bef298ec7,0.53,16.233224906921386,cpu,1709308639.4163537,1709308626.703647,13.858282663,0.13858282663,cpu,1709308626.7033815,1709308613.1125395,14.476219746,0.14476219746,kdd_nsl/reports/gzip_logistic/100-0/train/0f8ab1fa033ed73f9f26802bef298ec7/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,0f8ab1fa033ed73f9f26802bef298ec7,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,10.0,deckard.base.model.ModelInitializer,,True,-1,BZ2,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
11,125b3eb79268bd13ef3d4cb013765d85,train,deckard.base.experiment.Experiment,125b3eb79268bd13ef3d4cb013765d85,kdd_nsl,cpu,125b3eb79268bd13ef3d4cb013765d85,125b3eb79268bd13ef3d4cb013765d85,GzipLogisticRegressor,125b3eb79268bd13ef3d4cb013765d85,125b3eb79268bd13ef3d4cb013765d85,0.53,16.233224906921386,cpu,1709308574.5455842,1709308561.863714,13.089486189,0.13089486189,cpu,1709308561.86339,1709308550.706669,11.386377781,0.11386377781,kdd_nsl/reports/gzip_logistic/100-0/train/125b3eb79268bd13ef3d4cb013765d85/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,125b3eb79268bd13ef3d4cb013765d85,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,1.0,deckard.base.model.ModelInitializer,,True,-1,Zstd,gzip_classifier.GzipLogisticRegressor,none,True,saga,Symmetric,0.001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
12,12c4b32c4ee371e6221ffc98c1b9da1d,train,deckard.base.experiment.Experiment,12c4b32c4ee371e6221ffc98c1b9da1d,kdd_nsl,cpu,12c4b32c4ee371e6221ffc98c1b9da1d,12c4b32c4ee371e6221ffc98c1b9da1d,GzipLogisticRegressor,12c4b32c4ee371e6221ffc98c1b9da1d,12c4b32c4ee371e6221ffc98c1b9da1d,0.53,16.233224906921386,cpu,1709308837.946938,1709308817.6630564,21.465550184,0.21465550184,cpu,1709308817.662898,1709308792.8634102,25.932713109,0.25932713109,kdd_nsl/reports/gzip_logistic/100-0/train/12c4b32c4ee371e6221ffc98c1b9da1d/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,12c4b32c4ee371e6221ffc98c1b9da1d,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,10.0,deckard.base.model.ModelInitializer,,False,-1,Lzma,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.01,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
13,1729be36971cf263843d4d7c8ed531ad,train,deckard.base.experiment.Experiment,1729be36971cf263843d4d7c8ed531ad,kdd_nsl,cpu,1729be36971cf263843d4d7c8ed531ad,1729be36971cf263843d4d7c8ed531ad,GzipLogisticRegressor,1729be36971cf263843d4d7c8ed531ad,1729be36971cf263843d4d7c8ed531ad,0.53,16.233224906921386,cpu,1709308657.830273,1709308640.12603,18.107448497,0.18107448497,cpu,1709308640.1259332,1709308613.2605982,27.379378445,0.27379378445,kdd_nsl/reports/gzip_logistic/100-0/train/1729be36971cf263843d4d7c8ed531ad/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,1729be36971cf263843d4d7c8ed531ad,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,1.0,deckard.base.model.ModelInitializer,,False,-1,SeqRatio,gzip_classifier.GzipLogisticRegressor,l1,True,saga,Asymmetric,0.001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
14,18f12a079baab50de3abdf35f0f26e89,train,deckard.base.experiment.Experiment,18f12a079baab50de3abdf35f0f26e89,kdd_nsl,cpu,18f12a079baab50de3abdf35f0f26e89,18f12a079baab50de3abdf35f0f26e89,GzipLogisticRegressor,18f12a079baab50de3abdf35f0f26e89,18f12a079baab50de3abdf35f0f26e89,0.91,3.108489875793457,cpu,1709308695.3967333,1709308685.9545991,9.588332041,0.09588332041,cpu,1709308685.954473,1709308675.4480696,10.627050578,0.10627050578,kdd_nsl/reports/gzip_logistic/100-0/train/18f12a079baab50de3abdf35f0f26e89/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,18f12a079baab50de3abdf35f0f26e89,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,1.0,deckard.base.model.ModelInitializer,balanced,False,-1,Ratio,gzip_classifier.GzipLogisticRegressor,none,True,saga,Asymmetric,0.001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
15,197e2450ea1515a7befd4e3da9658849,train,deckard.base.experiment.Experiment,197e2450ea1515a7befd4e3da9658849,kdd_nsl,cpu,197e2450ea1515a7befd4e3da9658849,197e2450ea1515a7befd4e3da9658849,GzipLogisticRegressor,197e2450ea1515a7befd4e3da9658849,197e2450ea1515a7befd4e3da9658849,0.47,18.30555149078369,cpu,1709308942.713577,1709308922.5850132,21.324654819,0.21324654819,cpu,1709308922.5849087,1709308903.822164,19.618610542,0.19618610542,kdd_nsl/reports/gzip_logistic/100-0/train/197e2450ea1515a7befd4e3da9658849/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,197e2450ea1515a7befd4e3da9658849,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,100.0,deckard.base.model.ModelInitializer,balanced,True,-1,Lzma,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
17,1b4199548ab0de6e5ca778dea953b5c8,train,deckard.base.experiment.Experiment,1b4199548ab0de6e5ca778dea953b5c8,kdd_nsl,cpu,1b4199548ab0de6e5ca778dea953b5c8,1b4199548ab0de6e5ca778dea953b5c8,GzipLogisticRegressor,1b4199548ab0de6e5ca778dea953b5c8,1b4199548ab0de6e5ca778dea953b5c8,0.53,16.233224906921386,cpu,1709308824.0969214,1709308807.807622,16.618378269,0.16618378269,cpu,1709308807.8073184,1709308792.9057856,15.447804342,0.15447804342,kdd_nsl/reports/gzip_logistic/100-0/train/1b4199548ab0de6e5ca778dea953b5c8/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,1b4199548ab0de6e5ca778dea953b5c8,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,1.0,deckard.base.model.ModelInitializer,balanced,False,-1,SeqRatio,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Symmetric,0.01,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
18,1caac92bccce7829f6f07b92a17dc360,train,deckard.base.experiment.Experiment,1caac92bccce7829f6f07b92a17dc360,kdd_nsl,cpu,1caac92bccce7829f6f07b92a17dc360,1caac92bccce7829f6f07b92a17dc360,GzipLogisticRegressor,1caac92bccce7829f6f07b92a17dc360,1caac92bccce7829f6f07b92a17dc360,0.85,5.1808164596557615,cpu,1709308729.275223,1709308721.4432943,8.078564313,0.08078564313,cpu,1709308721.4430275,1709308711.876763,9.962851019,0.09962851019,kdd_nsl/reports/gzip_logistic/100-0/train/1caac92bccce7829f6f07b92a17dc360/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,1caac92bccce7829f6f07b92a17dc360,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,10.0,deckard.base.model.ModelInitializer,balanced,False,-1,Jaro,gzip_classifier.GzipLogisticRegressor,l2,True,saga,Asymmetric,0.0001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
19,1e33ab5c86bd090bad52960e688c2c2a,train,deckard.base.experiment.Experiment,1e33ab5c86bd090bad52960e688c2c2a,kdd_nsl,cpu,1e33ab5c86bd090bad52960e688c2c2a,1e33ab5c86bd090bad52960e688c2c2a,GzipLogisticRegressor,1e33ab5c86bd090bad52960e688c2c2a,1e33ab5c86bd090bad52960e688c2c2a,0.53,16.233224906921386,cpu,1709308869.1585891,1709308859.0948408,11.127471749,0.11127471749,cpu,1709308859.09469,1709308848.3404217,11.889736761,0.11889736761,kdd_nsl/reports/gzip_logistic/100-0/train/1e33ab5c86bd090bad52960e688c2c2a/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,1e33ab5c86bd090bad52960e688c2c2a,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,0.01,deckard.base.model.ModelInitializer,,True,-1,BZ2,gzip_classifier.GzipLogisticRegressor,l1,True,saga,Asymmetric,0.001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
20,1f6598761a7344fa084f795d0bd5d654,train,deckard.base.experiment.Experiment,1f6598761a7344fa084f795d0bd5d654,kdd_nsl,cpu,1f6598761a7344fa084f795d0bd5d654,1f6598761a7344fa084f795d0bd5d654,GzipLogisticRegressor,1f6598761a7344fa084f795d0bd5d654,1f6598761a7344fa084f795d0bd5d654,0.9,3.453877639770508,cpu,1709308592.9003837,1709308575.8621235,17.458204523,0.17458204523,cpu,1709308575.8620148,1709308550.4841518,25.419836229,0.25419836229,kdd_nsl/reports/gzip_logistic/100-0/train/1f6598761a7344fa084f795d0bd5d654/predictions.json,deckard.base.data.Data,raw_data/kdd_nsl.csv,label,deckard.base.data.SklearnDataSampler,0,True,100,100,deckard.base.files.FileConfig,.csv,kdd_nsl,1f6598761a7344fa084f795d0bd5d654,predictions.json,reports/gzip_logistic/100-0,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.model.art_pipeline.ArtPipeline,2,sklearn,deckard.base.data.Data,raw_data/kdd_nsl.csv,deckard.base.data.SklearnDataSampler,0.0,True,100.0,100.0,label,10.0,deckard.base.model.ModelInitializer,,True,-1,SeqRatio,gzip_classifier.GzipLogisticRegressor,none,True,saga,Asymmetric,0.001,,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipLogisticRegressor
