,stage,_target_,data,dataset,device_id,files,model,model_name,name,scorers,accuracy,log_loss,predict_device,predict_end_time,predict_start_time,predict_time,predict_time_per_sample,train_device,train_end_time,train_start_time,train_time,train_time_per_sample,data._target_,data.drop,data.name,data.target,data.sample.random_state,data.sample.shuffle,data.sample.stratify,data.sample.test_size,data.sample.train_size,files._target_,files.data_type,files.directory,files.name,files.predictions_file,files.reports,files.score_dict_file,files.stage,model._target_,model.library,model.data._target_,model.data.drop,model.data.name,model.data.sample.random_state,model.data.sample.shuffle,model.data.sample.stratify,model.data.sample.test_size,model.data.sample.train_size,model.data.target,model.init.C,model.init._target_,model.init.class_weight,model.init.distance_matrix,model.init.gamma,model.init.kernel,model.init.m,model.init.metric,model.init.name,model.init.precompute,model.init.sampling_method,model.init.symmetric,scorers._target_,scorers.accuracy._target_,scorers.accuracy.direction,scorers.accuracy.name,scorers.log_loss._target_,scorers.log_loss.direction,scorers.log_loss.name,model_layers
00048129acb12aa24d3ccc40ef8715cd,train,deckard.base.experiment.Experiment,00048129acb12aa24d3ccc40ef8715cd,DDoS,cpu,00048129acb12aa24d3ccc40ef8715cd,00048129acb12aa24d3ccc40ef8715cd,k-SVC,00048129acb12aa24d3ccc40ef8715cd,00048129acb12aa24d3ccc40ef8715cd,0.82,6.216979751083922,cpu,1721871005.259237,1721870997.4776168,8.02771561,0.0802771561,cpu,1721870997.4775534,1721870997.3777204,0.05343565,0.0005343565,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,1,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,00048129acb12aa24d3ccc40ef8715cd,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,1,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,ddos/model/levenshtein/100-100/1.npz,scale,rbf,0.8166759740820362,Levenshtein,gzip_classifier.GzipSVC,True,NearMiss,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b2b5ecb407946793639a31a3ce202f2e,train,deckard.base.experiment.Experiment,b2b5ecb407946793639a31a3ce202f2e,DDoS,cpu,b2b5ecb407946793639a31a3ce202f2e,b2b5ecb407946793639a31a3ce202f2e,k-SVC,b2b5ecb407946793639a31a3ce202f2e,b2b5ecb407946793639a31a3ce202f2e,0.5,17.269787996170436,cpu,1721869801.2543454,1721869792.292597,9.44732724,0.0944732724,cpu,1721869792.2925034,1721869791.7807431,0.52556488,0.0052556488,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b2b5ecb407946793639a31a3ce202f2e,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,,ddos/model/gzip/100-100/4.npz,auto,precomputed,0.7311342248445042,GZIP,gzip_classifier.GzipSVC,True,Hardness,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b27f44c94d3720c01423a274e2824b3c,train,deckard.base.experiment.Experiment,b27f44c94d3720c01423a274e2824b3c,DDoS,cpu,b27f44c94d3720c01423a274e2824b3c,b27f44c94d3720c01423a274e2824b3c,k-SVC,b27f44c94d3720c01423a274e2824b3c,b27f44c94d3720c01423a274e2824b3c,0.5,17.269388197455342,cpu,1721573155.568637,1721573149.3632684,6.55845948,0.0655845948,cpu,1721573149.363206,1721573148.8857613,0.50213874,0.0050213874,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,5,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b27f44c94d3720c01423a274e2824b3c,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,5,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,,ddos/model/gzip/100-100/5.npz,auto,rbf,0.2797170932996597,GZIP,gzip_classifier.GzipSVC,True,Hardness,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b2762689cdbc80a5f1458fb5ddfc741b,train,deckard.base.experiment.Experiment,b2762689cdbc80a5f1458fb5ddfc741b,DDoS,cpu,b2762689cdbc80a5f1458fb5ddfc741b,b2762689cdbc80a5f1458fb5ddfc741b,k-SVC,b2762689cdbc80a5f1458fb5ddfc741b,b2762689cdbc80a5f1458fb5ddfc741b,0.39,21.06887748817597,cpu,1721867790.5480158,1721867783.3323154,7.74772505,0.0774772505,cpu,1721867783.3322392,1721867783.1874518,0.15917623,0.0015917623,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b2762689cdbc80a5f1458fb5ddfc741b,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,ddos/model/gzip/100-100/0.npz,scale,precomputed,0.4183476113428562,GZIP,gzip_classifier.GzipSVC,True,NearMiss,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b2588cf3f0675b2e58e289db1895a0bb,train,deckard.base.experiment.Experiment,b2588cf3f0675b2e58e289db1895a0bb,DDoS,cpu,b2588cf3f0675b2e58e289db1895a0bb,b2588cf3f0675b2e58e289db1895a0bb,k-SVC,b2588cf3f0675b2e58e289db1895a0bb,b2588cf3f0675b2e58e289db1895a0bb,0.99,0.3453957599234097,cpu,1721573277.0123372,1721573267.0886536,10.89996084,0.1089996084,cpu,1721573267.088545,1721573266.9824154,0.12745153,0.0012745153,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b2588cf3f0675b2e58e289db1895a0bb,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,ddos/model/gzip/100-100/4.npz,scale,rbf,0.8427133739476653,GZIP,gzip_classifier.GzipSVC,True,Medoid,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b256b8c46a3378ebfac7e9f574239025,train,deckard.base.experiment.Experiment,b256b8c46a3378ebfac7e9f574239025,DDoS,cpu,b256b8c46a3378ebfac7e9f574239025,b256b8c46a3378ebfac7e9f574239025,k-SVC,b256b8c46a3378ebfac7e9f574239025,b256b8c46a3378ebfac7e9f574239025,0.42,20.03273818425156,cpu,1721870032.6544394,1721870023.953859,9.02948054,0.0902948054,cpu,1721870023.9538212,1721870023.944144,0.00900721,9.00721e-05,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b256b8c46a3378ebfac7e9f574239025,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,,ddos/model/ratio/100-100/4.npz,scale,rbf,0.935333175072611,Ratio,gzip_classifier.GzipSVC,True,Random,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b2564c8b86f470d4f8616828ad7861b6,train,deckard.base.experiment.Experiment,b2564c8b86f470d4f8616828ad7861b6,DDoS,cpu,b2564c8b86f470d4f8616828ad7861b6,b2564c8b86f470d4f8616828ad7861b6,k-SVC,b2564c8b86f470d4f8616828ad7861b6,b2564c8b86f470d4f8616828ad7861b6,0.5,17.269787996170436,cpu,1721575122.0093682,1721575115.1539516,7.03017399,0.0703017399,cpu,1721575115.153897,1721575115.1431477,0.00929791,9.29791e-05,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b2564c8b86f470d4f8616828ad7861b6,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,ddos/model/levenshtein/100-100/4.npz,scale,rbf,0.3816841927596772,Levenshtein,gzip_classifier.GzipSVC,True,Random,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b2334eb7b615897ad0afe806d4137d31,train,deckard.base.experiment.Experiment,b2334eb7b615897ad0afe806d4137d31,DDoS,cpu,b2334eb7b615897ad0afe806d4137d31,b2334eb7b615897ad0afe806d4137d31,k-SVC,b2334eb7b615897ad0afe806d4137d31,b2334eb7b615897ad0afe806d4137d31,0.99,0.3453957599234097,cpu,1721868970.4448636,1721868962.7752247,8.6186976,0.086186976,cpu,1721868962.7751608,1721868962.6239886,0.16709673,0.0016709673,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b2334eb7b615897ad0afe806d4137d31,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,,ddos/model/gzip/100-100/4.npz,scale,rbf,0.9900675552648864,GZIP,gzip_classifier.GzipSVC,True,KNN,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b21c2d34a5af5bea3aa2176040044258,train,deckard.base.experiment.Experiment,b21c2d34a5af5bea3aa2176040044258,DDoS,cpu,b21c2d34a5af5bea3aa2176040044258,b21c2d34a5af5bea3aa2176040044258,k-SVC,b21c2d34a5af5bea3aa2176040044258,b21c2d34a5af5bea3aa2176040044258,0.53,16.23339282106836,cpu,1721866296.1780105,1721866289.40456,6.88266044,0.0688266044,cpu,1721866289.4042428,1721866289.308073,0.09712848,0.0009712848,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b21c2d34a5af5bea3aa2176040044258,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,100,Label,0.1,deckard.base.model.ModelInitializer,balanced,ddos/model/pkl/100-100/4.npz,scale,rbf,0.4753200630182271,Pickle,gzip_classifier.GzipSVC,True,Random,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b213522713eb3ca26a82ab44d1e7d53e,train,deckard.base.experiment.Experiment,b213522713eb3ca26a82ab44d1e7d53e,DDoS,cpu,b213522713eb3ca26a82ab44d1e7d53e,b213522713eb3ca26a82ab44d1e7d53e,k-SVC,b213522713eb3ca26a82ab44d1e7d53e,b213522713eb3ca26a82ab44d1e7d53e,0.86,4.835532642953422,cpu,1721866140.5148296,1721866131.6973965,10.24238717,0.1024238717,cpu,1721866131.6972868,1721866131.589884,0.11381339,0.0011381339,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,7,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b213522713eb3ca26a82ab44d1e7d53e,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,7,True,True,100,100,Label,0.01,deckard.base.model.ModelInitializer,,ddos/model/bz2/100-100/7.npz,scale,rbf,0.6889476700711306,BZ2,gzip_classifier.GzipSVC,True,Random,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b210b6a3a57e715297759b9072dc6794,train,deckard.base.experiment.Experiment,b210b6a3a57e715297759b9072dc6794,DDoS,cpu,b210b6a3a57e715297759b9072dc6794,b210b6a3a57e715297759b9072dc6794,k-SVC,b210b6a3a57e715297759b9072dc6794,b210b6a3a57e715297759b9072dc6794,0.47,18.305807360480323,cpu,1721573750.3791854,1721573743.12555,7.50379325,0.0750379325,cpu,1721573743.125512,1721573743.1154325,0.00942645,9.42645e-05,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,5,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b210b6a3a57e715297759b9072dc6794,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,5,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,ddos/model/jaro/100-100/5.npz,scale,rbf,0.5400974346677042,Jaro,gzip_classifier.GzipSVC,True,Random,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b1f85061391422b5b7a6acb0ea06719c,train,deckard.base.experiment.Experiment,b1f85061391422b5b7a6acb0ea06719c,DDoS,cpu,b1f85061391422b5b7a6acb0ea06719c,b1f85061391422b5b7a6acb0ea06719c,k-SVC,b1f85061391422b5b7a6acb0ea06719c,b1f85061391422b5b7a6acb0ea06719c,0.99,0.3453957599234097,cpu,1721573976.5381076,1721573969.3228087,7.94835539,0.0794835539,cpu,1721573969.3227377,1721573968.8092215,0.53357266,0.0053357266,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b1f85061391422b5b7a6acb0ea06719c,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,ddos/model/gzip/100-100/4.npz,scale,rbf,0.4735059667391982,GZIP,gzip_classifier.GzipSVC,True,Hardness,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b1f7e70d4283cda99b37189e2a6a1220,train,deckard.base.experiment.Experiment,b1f7e70d4283cda99b37189e2a6a1220,DDoS,cpu,b1f7e70d4283cda99b37189e2a6a1220,b1f7e70d4283cda99b37189e2a6a1220,k-SVC,b1f7e70d4283cda99b37189e2a6a1220,b1f7e70d4283cda99b37189e2a6a1220,0.94,2.0723265836946414,cpu,1721573354.5105126,1721573348.5001569,6.46881226,0.0646881226,cpu,1721573348.4999552,1721573348.387538,0.11576115,0.0011576115,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b1f7e70d4283cda99b37189e2a6a1220,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,ddos/model/gzip/100-100/4.npz,scale,rbf,0.2986542127301122,GZIP,gzip_classifier.GzipSVC,True,Random,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b1d31bfc6b42cb8941d63d1454438af9,train,deckard.base.experiment.Experiment,b1d31bfc6b42cb8941d63d1454438af9,DDoS,cpu,b1d31bfc6b42cb8941d63d1454438af9,b1d31bfc6b42cb8941d63d1454438af9,k-SVC,b1d31bfc6b42cb8941d63d1454438af9,b1d31bfc6b42cb8941d63d1454438af9,0.56,15.19730948896406,cpu,1721870182.982628,1721870096.1719978,88.55476622,0.8855476622,cpu,1721870096.171962,1721870096.163171,0.00820381,8.20381e-05,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b1d31bfc6b42cb8941d63d1454438af9,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,ddos/model/seqratio/100-100/3.npz,scale,rbf,0.8413972798964344,SeqRatio,gzip_classifier.GzipSVC,True,Random,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b1af004dc324ffbd2b176cd4f3f1e394,train,deckard.base.experiment.Experiment,b1af004dc324ffbd2b176cd4f3f1e394,DDoS,cpu,b1af004dc324ffbd2b176cd4f3f1e394,b1af004dc324ffbd2b176cd4f3f1e394,k-SVC,b1af004dc324ffbd2b176cd4f3f1e394,b1af004dc324ffbd2b176cd4f3f1e394,0.44,19.34195466037904,cpu,1721572882.7491994,1721572858.0999162,28.13278041,0.2813278041,cpu,1721572858.099859,1721572857.3542843,0.77999888,0.0077999888,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,3,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b1af004dc324ffbd2b176cd4f3f1e394,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,3,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,ddos/model/lzma/100-100/3.npz,scale,rbf,0.9389167535022696,LZMA,gzip_classifier.GzipSVC,True,Hardness,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b1ae5a7b3684c2ed479f168b0ef7f3b8,train,deckard.base.experiment.Experiment,b1ae5a7b3684c2ed479f168b0ef7f3b8,DDoS,cpu,b1ae5a7b3684c2ed479f168b0ef7f3b8,b1ae5a7b3684c2ed479f168b0ef7f3b8,k-SVC,b1ae5a7b3684c2ed479f168b0ef7f3b8,b1ae5a7b3684c2ed479f168b0ef7f3b8,0.5,17.26978799617044,cpu,1721866596.4454005,1721866590.4189792,6.56382727,0.0656382727,cpu,1721866590.418894,1721866590.408355,0.0097555,9.7555e-05,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b1ae5a7b3684c2ed479f168b0ef7f3b8,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,100,100,Label,100.0,deckard.base.model.ModelInitializer,,ddos/model/hamming/100-100/0.npz,auto,precomputed,0.1687209153755914,Hamming,gzip_classifier.GzipSVC,True,SVC,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b173fc00c28f6cd3973da71ba28803bb,train,deckard.base.experiment.Experiment,b173fc00c28f6cd3973da71ba28803bb,DDoS,cpu,b173fc00c28f6cd3973da71ba28803bb,b173fc00c28f6cd3973da71ba28803bb,k-SVC,b173fc00c28f6cd3973da71ba28803bb,b173fc00c28f6cd3973da71ba28803bb,0.47,18.30579936450602,cpu,1721865397.5116122,1721865384.2487614,14.85971904,0.1485971904,cpu,1721865384.248696,1721865383.5601938,0.72342934,0.0072342934,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b173fc00c28f6cd3973da71ba28803bb,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,ddos/model/lzma/100-100/4.npz,scale,rbf,0.4052931738761814,LZMA,gzip_classifier.GzipSVC,True,Hardness,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b16a4a425d2e3b687092b49314df1819,train,deckard.base.experiment.Experiment,b16a4a425d2e3b687092b49314df1819,DDoS,cpu,b16a4a425d2e3b687092b49314df1819,b16a4a425d2e3b687092b49314df1819,k-SVC,b16a4a425d2e3b687092b49314df1819,b16a4a425d2e3b687092b49314df1819,0.5,17.269388197455342,cpu,1721869140.8772078,1721869135.4487686,6.19498143,0.0619498143,cpu,1721869135.4487271,1721869135.0727456,0.37524734,0.0037524734,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,4,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b16a4a425d2e3b687092b49314df1819,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,4,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,,ddos/model/levenshtein/100-100/4.npz,auto,rbf,0.2506600141243311,Levenshtein,gzip_classifier.GzipSVC,True,Hardness,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b12d4cf9a559234b29fe67f588424c74,train,deckard.base.experiment.Experiment,b12d4cf9a559234b29fe67f588424c74,DDoS,cpu,b12d4cf9a559234b29fe67f588424c74,b12d4cf9a559234b29fe67f588424c74,k-SVC,b12d4cf9a559234b29fe67f588424c74,b12d4cf9a559234b29fe67f588424c74,0.95,1.726938819745535,cpu,1721576198.0067503,1721576189.8650088,8.69277005,0.0869277005,cpu,1721576189.8648963,1721576189.7549815,0.11205574,0.0011205574,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,0,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b12d4cf9a559234b29fe67f588424c74,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,0,True,True,100,100,Label,100.0,deckard.base.model.ModelInitializer,balanced,ddos/model/zstd/100-100/0.npz,scale,rbf,0.6412384055983553,ZSTD,gzip_classifier.GzipSVC,True,Random,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
b12616a451a21f8ce395f5b66ab208c5,train,deckard.base.experiment.Experiment,b12616a451a21f8ce395f5b66ab208c5,DDoS,cpu,b12616a451a21f8ce395f5b66ab208c5,b12616a451a21f8ce395f5b66ab208c5,k-SVC,b12616a451a21f8ce395f5b66ab208c5,b12616a451a21f8ce395f5b66ab208c5,0.94,2.072374559540453,cpu,1721868605.8688183,1721868598.335947,7.96403044,0.0796403044,cpu,1721868598.335876,1721868598.1641486,0.18471784,0.0018471784,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,Label,1,True,True,100,100,deckard.base.files.FileConfig,.csv,ddos,b12616a451a21f8ce395f5b66ab208c5,predictions.json,reports/condense/svc/,score_dict.json,train,deckard.base.model.Model,sklearn,deckard.base.data.Data,"['Timestamp', 'Unnamed: 0']",raw_data/ddos_undersampled_10000.csv,1,True,True,100,100,Label,10.0,deckard.base.model.ModelInitializer,balanced,ddos/model/zstd/100-100/1.npz,scale,rbf,0.4016028076425673,ZSTD,gzip_classifier.GzipSVC,True,NearMiss,Asymmetric,deckard.base.scorer.ScorerDict,deckard.base.scorer.ScorerConfig,maximize,sklearn.metrics.accuracy_score,deckard.base.scorer.ScorerConfig,minimize,sklearn.metrics.log_loss,GzipSVC
